TripId,TripStartTime,TripEndTime,DeviceId
5bc58634-bd36-44f6-a964-cb0fbfee0974,2021-07-12 11:53:48.334301,2021-07-13 17:53:48.334301,21089f7d
cf67df63-29d3-4379-af2e-ac21bee44b9c,2022-05-14 11:17:48.771450,2022-05-15 09:17:48.771450,686a21f2
4ca8698e-f45e-48b1-8aa0-e63218203a1d,2023-11-13 15:44:18.536810,2023-11-15 11:44:18.536810,fecafd79
81a73624-422d-45c9-9314-558b22852cbe,2023-04-09 10:11:15.508893,2023-04-10 19:11:15.508893,9d181781
eca369f0-8c6a-4e0f-b4be-b3d369a90502,2023-09-16 01:32:53.451951,2023-09-16 21:32:53.451951,dfc34394
dbe9c8d3-2956-465b-86b8-3b3d57b043c8,2021-01-03 12:30:56.618223,2021-01-04 00:30:56.618223,ec488d86
08742447-454d-4f51-98f4-0ca3469e032d,2023-10-12 20:43:08.728564,2023-10-14 14:43:08.728564,c2829f49
df71d09b-c5cf-4bc7-ae97-eaa5d6d654f8,2021-10-04 15:09:26.249572,2021-10-05 22:09:26.249572,44b470a2
729cca3c-e0ba-49bc-b1e1-fa1a88ddd9a2,2022-01-13 01:39:36.955265,2022-01-13 15:39:36.955265,0cbb6755
ddac3f9e-9656-416c-9c8f-3c7129ed4b00,2022-08-20 09:47:55.727821,2022-08-22 05:47:55.727821,30df4641
91ce8b16-defe-46b4-a98f-79a0760187c4,2021-04-21 01:40:35.278986,2021-04-21 23:40:35.278986,008c404f
f2ee2df6-56a8-4a1c-979f-992818c4f978,2021-02-15 06:35:05.470041,2021-02-16 03:35:05.470041,f7c37302
fc04895d-01cc-4f51-b047-d72e37c74195,2022-09-01 17:49:57.741683,2022-09-02 22:49:57.741683,3ba17ce8
a1cd9ee9-e48d-4d6e-a8d2-b254045f845c,2022-04-07 17:54:25.124445,2022-04-09 16:54:25.124445,776f3e77
53143cfa-9dcc-41aa-95ae-c451b4eb1ece,2022-09-12 20:08:41.953638,2022-09-13 09:08:41.953638,b9d974f8
ade8ea39-db84-41b7-adb2-a87a490741f7,2021-02-25 15:26:14.400570,2021-02-27 06:26:14.400570,31569604
b4cd7296-aeb3-4fa4-9ff0-f7251e2c60ad,2023-08-30 14:27:58.156833,2023-08-31 15:27:58.156833,c6ee2e88
cd073723-8e27-4b41-ac31-fb53105b8a2a,2021-04-15 13:53:40.294393,2021-04-16 07:53:40.294393,a0a5f110
c771aca6-eb7a-4bd8-80d6-1841cd5d5eee,2023-07-20 01:46:52.001955,2023-07-20 14:46:52.001955,b1bb2aaa
ebad114c-68ed-44bd-9653-c6b8317f4519,2023-06-03 15:10:56.359789,2023-06-04 03:10:56.359789,f98d7369
e6eb1566-a230-4147-be0b-cb0ac1d3b63b,2021-07-22 21:58:50.285168,2021-07-24 15:58:50.285168,6d952ff5
e0954d68-9163-49e5-83ac-72c0a6e6b75e,2021-02-14 01:18:53.293118,2021-02-15 22:18:53.293118,f1bb6e16
954b0565-5322-4020-b2d4-88e6fe7bc209,2023-06-15 20:02:25.394036,2023-06-17 11:02:25.394036,c774822a
f1071c9d-bd74-40bd-ba6a-2a9f15145b91,2021-11-10 01:30:44.431489,2021-11-10 14:30:44.431489,21dc2720
9cfea9dd-4cef-40f4-afbe-085aae9ca3b8,2021-11-17 22:26:28.474885,2021-11-18 13:26:28.474885,30f65f32
73167b12-e1bc-4aa0-950f-b190b9febc1c,2023-06-12 18:36:09.134389,2023-06-14 10:36:09.134389,47d54779
9b3561d7-69b9-41f7-b360-20c3bd163a45,2023-07-06 16:53:46.431790,2023-07-07 06:53:46.431790,f98d1228
3f010d8c-b513-45db-bd84-f262e0d8777c,2023-09-19 21:20:18.653018,2023-09-20 16:20:18.653018,3de51fe9
11131af6-9074-4755-a5a3-f93eef6f5e53,2021-02-15 09:46:56.164138,2021-02-16 04:46:56.164138,c6ee2e88
0c93833f-b892-46e7-84e7-a6244fa25c9f,2021-05-03 17:38:11.068847,2021-05-04 17:38:11.068847,fbcae72a
295e4da0-c37d-41a1-b5f0-1ba7c5519dce,2022-10-02 15:49:11.018003,2022-10-04 13:49:11.018003,03e5d312
8711a323-f520-42d7-be60-6d173946d926,2021-07-07 11:43:03.959444,2021-07-09 08:43:03.959444,f1a8ed73
482e1c41-d674-4130-b6d4-b97b26e181ad,2021-05-06 02:31:04.442204,2021-05-06 21:31:04.442204,87c6d019
3546ac7e-8734-4eb6-bf72-8a0b9f0d4356,2021-03-07 01:07:47.849360,2021-03-07 18:07:47.849360,e25cf2e0
9c487dab-c802-4b8f-bfd9-6d9e3c08034d,2023-04-01 16:02:21.864703,2023-04-02 05:02:21.864703,0439d34e
47de082e-e7d4-4698-aec0-cb19137003f8,2023-06-01 09:46:25.369341,2023-06-03 03:46:25.369341,64446faf
f2c47ee7-25ab-40e5-8fcb-df0613850db3,2023-07-16 09:18:19.020427,2023-07-17 08:18:19.020427,548022ca
df51bbfe-d5a1-46cd-a1a1-0e821b569bfc,2023-07-26 03:50:50.733685,2023-07-27 02:50:50.733685,dce16069
e2b1dc99-eb4b-43f1-8613-760dc4fe5350,2023-01-20 16:09:10.115290,2023-01-21 12:09:10.115290,f4d5d6b1
8a94b3b4-0ba3-4c75-8c0c-526f22e6d91f,2023-06-29 23:44:38.129474,2023-06-30 20:44:38.129474,d6ca8957
